#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción Económico,Proyecto,Desc. proyecto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2015.0.0.3321.0.12009,3321,12009,Bibliotecas públicas,Retribucions bàsiques,,,42302.23,-7122.18,35180.05,48054.96
2015.0.0.3321.0.12103,3321,12103,Bibliotecas públicas,Retribucions complementar,,,41542.62,14045.48,55588.1,46935.14
2015.0.0.3321.0.16000,3321,16000,Bibliotecas públicas,Quotes socials,,,25991.9,1653.73,27645.63,23423.68
2015.0.0.3321.0.212,3321,212,Bibliotecas públicas,Rep.mment.i cons.edificis,,,1000.0,565.54,1565.54,3077.22
2015.0.0.3321.0.22699,3321,22699,Bibliotecas públicas,Despeses diverses,,,2500.0,63.51,2563.51,1051.83
2015.0.0.3322.0.202,3322,202,Archivos,Arrendament edifici,,,18317.0,-6317.0,12000.0,12000.0
2015.0.0.3330.0.13002,3330,13002,Escola de teatre,Personal laboral fix,,,5866.1,400.36,6266.46,5970.23
2015.0.0.3330.0.16000,3330,16000,Escola de teatre,Quotes socials,,,1818.49,,1818.49,2114.72
2015.0.0.3330.0.22699,3330,22699,Escola de teatre,Despeses diverses,,,1500.0,6497.7,7997.7,7297.7
2015.0.0.3331.0.22699,3331,22699,Representacions teatrals,Despeses diverses,,,20000.0,-4750.0,15250.0,15197.64
2015.0.0.3340.0.22699,3340,22699,Ponència de Cultura,Despeses diverses,,,28000.0,35377.63,63377.63,60586.16
2015.1.0.3340.0.780,3340,780,Ponència de Cultura,A instit. sense fi lucre,,,,50.0,50.0,
2015.0.0.3341.0.12009,3341,12009,Casa de la Cultura,Retribucions bàsiques,,,19141.1,-1262.9,17878.2,23034.67
2015.0.0.3341.0.12103,3341,12103,Casa de la Cultura,Retribucions complementar,,,21400.82,1414.71,22815.53,24597.44
2015.0.0.3341.0.16000,3341,16000,Casa de la Cultura,Quotes socials,,,12568.0,7434.9,20002.9,13064.52
2015.0.0.3342.0.22699,3342,22699,Setmana lletres valencian,Despeses diverses,,,2500.0,,2500.0,1768.53
2015.0.0.3343.0.22699,3343,22699,Campanya animació lectura,Despeses diverses,,,1000.0,,1000.0,449.88
2015.1.0.3344.1408.22699,3344,22699,Projectes cultur. Europeu,Otros gastos diversos,1408,VIA EUROPA 20142ES02KA105,,9642.73,9642.73,8729.44
2015.0.0.3344.0.481,3344,481,Projectes cultur. Europeu,Premis i Beques,,,,40.9,40.9,40.9
2015.1.0.3344.1408.481,3344,481,Projectes cultur. Europeu,Premis i Beques,1408,VIA EUROPA 20142ES02KA105,,8320.1,8320.1,8283.34
2015.0.0.3345.0.489,3345,489,Bandes de Música,Aportacions i subvencions,,,30000.0,-30000.0,,
2015.0.0.3347.0.12009,3347,12009,Pomoció d'Ús Valencià,Retribucions bàsiques,,,17581.44,-2019.53,15561.91,20364.63
2015.0.0.3347.0.12103,3347,12103,Pomoció d'Ús Valencià,Retribucions complementar,,,16672.88,1027.85,17700.73,15481.96
2015.0.0.3347.0.16000,3347,16000,Pomoció d'Ús Valencià,Quotes socials,,,10618.84,739.39,11358.23,8774.28
2015.0.0.3347.0.22000,3347,22000,Pomoció d'Ús Valencià,Material oficina,,,300.0,-300.0,,
2015.0.0.3347.0.22699,3347,22699,Pomoció d'Ús Valencià,Despeses diverses,,,1500.0,332.7,1832.7,1124.77
2015.0.0.3360.1523.619,3360,619,Arqueología y protección del Patrimonio Histórico-Artístico,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general,1523,Honoraris tècnics seguiment arqueològic plaça Poble [Diputació IFS 2015],,2660.0,2660.0,
2015.0.0.3360.1502.627,3360,627,Arqueología y protección del Patrimonio Histórico-Artístico,Proyectos complejos,1502,Rest. mat. arqueològic a exposar al museu d'historia i arquología,,10000.0,10000.0,9999.23
2015.0.0.3370.0.12009,3370,12009,Ponència de Joventut,Retribucions bàsiques,,,34884.34,-1731.45,33152.89,43026.27
2015.0.0.3370.0.12103,3370,12103,Ponència de Joventut,Retribucions complementar,,,40734.54,10462.99,51197.53,43747.19
2015.0.0.3370.0.131,3370,131,Ponència de Joventut,Personal Laboral eventual,,,3129.5,-3449.27,-319.77,2026.24
2015.0.0.3370.0.16000,3370,16000,Ponència de Joventut,Quotes socials,,,24474.58,4586.11,29060.69,24291.64
2015.0.0.3371.0.22699,3371,22699,Centre informacio juvenil,Despeses diverses,,,24118.85,3170.09,27288.94,27066.1
2015.0.0.3371.1507.625,3371,625,Centre informacio juvenil,Mobiliario,1507,Equipament per  centres culturals SARC,,2559.15,2559.15,2559.15
2015.0.0.3379.0.212,3379,212,Centre Tercera edat,Rep.mment.i cons.edificis,,,1842.24,,1842.24,7955.52
2015.0.0.3379.0.22100,3379,22100,Centre Tercera edat,Subministres,,,27897.24,,27897.24,6395.24
2015.0.0.3379.0.22699,3379,22699,Centre Tercera edat,Despeses diverses,,,1000.0,-1060.12,-60.12,811.7
2015.0.0.3380.0.22699,3380,22699,Festes Populars,Despeses diverses,,,50000.0,42439.97,92439.97,91034.36
2015.0.0.3410.0.22699,3410,22699,Ponència d'Esports,Despeses diverses,,,15000.0,779.48,15779.48,15426.62
2015.0.0.3410.0.489,3410,489,Ponència d'Esports,Aportacions i subvencions,,,95000.0,,95000.0,95000.0
2015.0.0.3420.0.12009,3420,12009,Piscina d'Estiu,Retribucions bàsiques,,,,2574.52,2574.52,9919.44
2015.0.0.3420.0.12103,3420,12103,Piscina d'Estiu,Retribucions complementar,,,,,,3430.39
2015.0.0.3420.0.13002,3420,13002,Piscina d'Estiu,Personal laboral fix,,,52822.81,1981.48,54804.29,37235.73
2015.0.0.3420.0.16000,3420,16000,Piscina d'Estiu,Quotes socials,,,16375.07,-5213.52,11161.55,16728.89
2015.0.0.3420.0.213,3420,213,Piscina d'Estiu,Rep.mment i cons.Maquinar,,,22000.0,11507.07,33507.07,22937.7
2015.0.0.3420.0.22799,3420,22799,Piscina d'Estiu,Treb.real.altres empreses,,,12600.0,1929.6,14529.6,21498.49
2015.0.0.3421.0.12009,3421,12009,Poliesportiu Municipal,Retribucions bàsiques,,,48064.0,6328.86,54392.86,50269.83
2015.0.0.3421.0.12103,3421,12103,Poliesportiu Municipal,Retribucions complementar,,,77016.38,-12295.3,64721.08,73297.64
2015.0.0.3421.0.16000,3421,16000,Poliesportiu Municipal,Quotes socials,,,38774.92,,38774.92,34321.39
2015.0.0.3421.0.212,3421,212,Poliesportiu Municipal,Rep.mment.i cons.edificis,,,1000.0,954.97,1954.97,14736.24
2015.0.0.3421.0.213,3421,213,Poliesportiu Municipal,Rep.mment i cons.Maquinar,,,5000.0,219.72,5219.72,3614.17
2015.0.0.3421.0.22100,3421,22100,Poliesportiu Municipal,Subministres,,,67108.62,,67108.62,34878.29
2015.1.0.3421.0611.622,3421,622,Poliesportiu Municipal,Edificios y otras construcciones,0611,Dot. esport. municipals,,41350.5,41350.5,
2015.0.0.3421.0.623,3421,623,Poliesportiu Municipal,"Maquinaria, instalaciones técnicas y utillaje",,,,32000.0,32000.0,32000.0
2015.0.0.3422.0.213,3422,213,Piscines municipals,Rep.mment i cons.Maquinar,,,,,,622.8
2015.0.0.3422.0.22100,3422,22100,Piscines municipals,Subministres,,,132708.16,,132708.16,64910.1
2015.0.0.3422.0.22699,3422,22699,Piscines municipals,Otros gastos diversos,,,,,,30969.99
2015.0.0.3422.0.22799,3422,22799,Piscines municipals,Treb.real.altres empreses,,,,,,6096.07
2015.1.0.3422.0501.600,3422,600,Piscines municipals,Inversiones en terrenos,0501,Honoraris i urb.Piscina,,169172.76,169172.76,
2015.0.0.4100.0.12009,4100,12009,Consell Local Agrari,Retribucions bàsiques,,,45130.54,-3397.03,41733.51,52317.12
2015.0.0.4100.0.12103,4100,12103,Consell Local Agrari,Retribucions complementar,,,62686.12,3846.87,66532.99,59612.46
2015.0.0.4100.0.16000,4100,16000,Consell Local Agrari,Quotes socials,,,33423.16,1784.51,35207.67,24281.54
2015.0.0.4100.0.22699,4100,22699,Consell Local Agrari,Despeses diverses,,,5000.0,1129.68,6129.68,5852.41
2015.1.0.4121.1020.609,4121,609,Millora Medi Natural,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,1020,CASA FIGUERO,,100353.42,100353.42,
2015.0.0.4190.0.12009,4190,12009,Vedat de caça,Retribucions bàsiques,,,9379.62,,9379.62,10403.19
2015.0.0.4190.0.12103,4190,12103,Vedat de caça,Retribucions complementar,,,12508.02,617.68,13125.7,12481.14
2015.0.0.4190.0.131,4190,131,Vedat de caça,Personal Laboral eventual,,,,1735.29,1735.29,233.08
2015.1.0.4190.0.131,4190,131,Vedat de caça,Laboral temporal,,,,54185.51,54185.51,32029.01
2015.0.0.4190.0.151,4190,151,Vedat de caça,Dotació gratificació per serveis de caracter extraordinari,,,,,,287.7
2015.0.0.4190.0.16000,4190,16000,Vedat de caça,Quotes socials,,,6785.17,15103.85,21889.02,16174.23
2015.1.0.4190.0.16000,4190,16000,Vedat de caça,Seguridad Social,,,,2528.2,2528.2,2528.2
2015.0.0.4190.0.22699,4190,22699,Vedat de caça,Despeses diverses,,,,36117.09,36117.09,32026.54
2015.1.0.4190.0.600,4190,600,Vedat de caça,Inversiones en terrenos,,,,832.5,832.5,
2015.0.0.4300.0.22699,4300,22699,Promoció Econòmica,Despeses diverses,,,6850.0,2031.59,8881.59,8693.49
2015.0.0.4311.0.22699,4311,22699,Fira Sant Sebastià,Despeses diverses,,,32575.0,32701.01,65276.01,65222.85
2015.0.0.4312.0.212,4312,212,"Mercados, abastos y lonjas",Rep.mment.i cons.edificis,,,2204.0,2631.04,4835.04,4386.74
2015.0.0.4312.0.22100,4312,22100,"Mercados, abastos y lonjas",Subministres,,,5000.0,,5000.0,3179.23
2015.0.0.4330.0.489,4330,489,Promoció empresarial,Aportacions i subvencions,,,10000.0,,10000.0,
2015.1.0.4500.1021.627,4500,627,Porjectes i direccio obr.,Proyectos complejos,1021,PROJ. DIREC. OBRES I LLIC,,5586.22,5586.22,
2015.1.0.4520.0508.609,4520,609,Recursos Hidràulics,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,0508,Invers.xarxa aigües pluv.,,104705.75,104705.75,
2015.0.0.4540.1508.609,4540,609,Camins rurals,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,1508,SPEE CAMINS RURALS,,19267.0,19267.0,17925.54
2015.1.0.4540.1022.609,4540,609,Camins rurals,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general,1022,CAMINS RURALS,,26672.99,26672.99,22765.37
2015.0.0.4540.0.624,4540,624,Camins rurals,Elementos de transporte,,,,8789.35,8789.35,8789.35
2015.0.0.4910.0.489,4910,489,Mitjans de comunicació,Aportacions i subvencions,,,10000.0,-3000.0,7000.0,
2015.0.0.4911.0.11002,4911,11002,Gabinet de comunicacio,Retrib. personal eventual,,,35499.94,-14057.08,21442.86,25470.59
2015.0.0.4911.0.16000,4911,16000,Gabinet de comunicacio,Quotes socials,,,2239.11,11714.98,13954.09,8341.29
2015.0.0.4911.0.22799,4911,22799,Gabinet de comunicacio,Treb.real.altres empreses,,,1000.0,3000.0,4000.0,4000.0
2015.0.0.4920.0.216,4920,216,Administració electrònica,Rep.mment i cons.E.inform,,,4948.8,4427.19,9375.99,18256.1
2015.0.0.4920.0.22799,4920,22799,Administració electrònica,Treb.real.altres empreses,,,25000.0,9435.25,34435.25,25501.7
2015.0.0.4920.0.626,4920,626,Administració electrònica,Equipos para procesos de información,,,,5376.1,5376.1,5376.0
2015.0.0.4920.1521.626,4920,626,Administració electrònica,Equipos para procesos de información,1521,Informática-modernització implantació backoffice [Diputació IFS 2015],,85000.0,85000.0,
2015.0.0.4930.0.12009,4930,12009,O.M.I.C.,Retribucions bàsiques,,,13135.46,,13135.46,13419.62
2015.0.0.4930.0.12103,4930,12103,O.M.I.C.,Retribucions complementar,,,13457.08,906.11,14363.19,14440.2
2015.0.0.4930.0.16000,4930,16000,O.M.I.C.,Quotes socials,,,8243.69,473.14,8716.83,7011.72
2015.0.0.4930.0.22699,4930,22699,O.M.I.C.,Despeses diverses,,,800.0,4400.0,5200.0,2955.9
2015.0.0.9120.0.10001,9120,10001,Òrgans de govern,Retribucions dedic. exclu,,,104154.84,,104154.84,109794.72
2015.0.0.9120.0.16000,9120,16000,Òrgans de govern,Quotes socials,,,34371.1,8134.34,42505.44,35579.39
2015.0.0.9120.0.22699,9120,22699,Òrgans de govern,Despeses diverses,,,3000.0,,3000.0,3139.09
2015.0.0.9120.0.233,9120,233,Òrgans de govern,Assitències,,,108361.0,392.34,108753.34,108614.25
2015.0.0.9121.0.489,9121,489,Grups Politics,Aportacions i subvencions,,,22000.0,9900.0,31900.0,31683.32
2015.0.0.9200.0.22200,9200,22200,Serveis Generals,Servei de comunicacions,,,5000.0,-5000.0,,
2015.0.0.9200.0.22699,9200,22699,Serveis Generals,Despeses diverses,,,500.0,,500.0,129.67
2015.0.0.9200.0.23020,9200,23020,Serveis Generals,Dietes,,,1500.0,,1500.0,79.7
2015.0.0.9200.0.23120,9200,23120,Serveis Generals,Despeses locomoció,,,2000.0,,2000.0,526.93
2015.0.0.9201.0.12009,9201,12009,Secretaria,Retribucions bàsiques,,,166520.46,,166520.46,142414.68
2015.0.0.9201.0.12103,9201,12103,Secretaria,Retribucions complementar,,,220461.36,-119036.41,101424.95,135564.31
2015.0.0.9201.0.16000,9201,16000,Secretaria,Quotes socials,,,119964.36,-40265.78,79698.58,69665.0
2015.0.0.9202.0.203,9202,203,Oficines Municipals,Arrendament maquinaria,,,12360.0,11892.66,24252.66,6551.57
2015.0.0.9202.0.213,9202,213,Oficines Municipals,Rep.mment i cons.Maquinar,,,23000.0,2879.44,25879.44,18628.16
2015.0.0.9202.0.22000,9202,22000,Oficines Municipals,Material oficina,,,50000.0,5326.16,55326.16,65208.27
2015.0.0.9202.0.22100,9202,22100,Oficines Municipals,Subministres,,,80000.0,,80000.0,57361.01
2015.0.0.9202.0.22200,9202,22200,Oficines Municipals,Servei de comunicacions,,,15000.0,,15000.0,40075.41
2015.0.0.9202.0.223,9202,223,Oficines Municipals,Servei transport/missatge,,,1000.0,,1000.0,
2015.0.0.9203.0.202,9203,202,Edificis Municipals,Arrendament edifici,,,20800.0,-9490.19,11309.81,11400.0
2015.0.0.9203.0.212,9203,212,Edificis Municipals,Rep.mment.i cons.edificis,,,8000.0,68213.26,76213.26,70610.4
2015.0.0.9203.0.22799,9203,22799,Edificis Municipals,Treb.real.altres empreses,,,345609.35,24950.72,370560.07,346507.3
2015.0.0.9203.0.632,9203,632,Edificis Municipals,Inv. repos.Edificis i con,,,,13438.81,13438.81,11525.39
2015.0.0.9203.1503.632,9203,632,Edificis Municipals,Edificios y otras construcciones,1503,SUBSTITUCIO LED EDIFICIS [PEEITL],,88245.21,88245.21,8292.71
2015.0.0.9203.1512.632,9203,632,Edificis Municipals,Edificios y otras construcciones,1512,Restauracio Casa la Palma,,40000.0,40000.0,
2015.0.0.9204.0.12009,9204,12009,Departament informàtica,Retribucions bàsiques,,,28677.0,-1589.54,27087.46,31387.27
2015.0.0.9204.0.12103,9204,12103,Departament informàtica,Retribucions complementar,,,38438.12,2246.68,40684.8,38438.12
2015.0.0.9204.0.16000,9204,16000,Departament informàtica,Quotes socials,,,20805.69,1086.14,21891.83,19838.7
2015.0.0.9205.0.22799,9205,22799,Asses. i defensa lletrada,Treb.real.altres empreses,,,15000.0,47085.74,62085.74,61555.03
2015.0.0.9206.0.224,9206,224,Bens Municipals,Contracte de segur,,,55000.0,-10923.19,44076.81,43711.61
2015.0.0.9207.0.22699,9207,22699,Jutjat,Despeses diverses,,,10000.0,-846.33,9153.67,5322.76
2015.0.0.9209.0.12009,9209,12009,Departament de Personal,Retribucions bàsiques,,,90675.6,,90675.6,86833.75
2015.0.0.9209.0.12103,9209,12103,Departament de Personal,Retribucions complementar,,,115564.26,-38244.03,77320.23,82318.73
2015.0.0.9209.0.16000,9209,16000,Departament de Personal,Quotes socials,,,63934.35,-12926.39,51007.96,49851.31
2015.0.0.9240.0.22699,9240,22699,Participació ciutadana,Despeses diverses,,,1500.0,,1500.0,315.85
2015.0.0.9250.0.12009,9250,12009,Atenció ciutada i U.Admin,Retribucions bàsiques,,,182908.14,11954.33,194862.47,188599.91
2015.0.0.9250.0.12103,9250,12103,Atenció ciutada i U.Admin,Retribucions complementar,,,230512.96,-29076.06,201436.9,216101.88
2015.0.0.9250.0.16000,9250,16000,Atenció ciutada i U.Admin,Quotes socials,,,128160.54,-4560.7,123599.84,115197.42
2015.0.0.9291.0.270,9291,270,Indemnitzacions,Despeses imprevistes,,,42000.0,61033.17,103033.17,89532.96
2015.0.0.9292.0.12009,9292,12009,Taller,Retribucions bàsiques,,,20884.02,5873.69,26757.71,17633.12
2015.0.0.9292.0.12103,9292,12103,Taller,Retribucions complementar,,,26122.18,-19084.13,7038.05,19225.45
2015.0.0.9292.0.16000,9292,16000,Taller,Quotes socials,,,14571.92,,14571.92,11196.89
2015.0.0.9292.0.22699,9292,22699,Taller,Despeses diverses,,,2550.0,,2550.0,1748.22
2015.0.0.9310.0.12009,9310,12009,Àrea Econòmica,Retribucions bàsiques,,,100123.26,3835.89,103959.15,88006.13
2015.0.0.9310.0.12103,9310,12103,Àrea Econòmica,Retribucions complementar,,,157638.04,-52891.5,104746.54,127292.69
2015.0.0.9310.0.16000,9310,16000,Àrea Econòmica,Quotes socials,,,79906.0,-15753.21,64152.79,57559.66
2015.0.0.9320.0.22799,9320,22799,Recaptació Tributs,Treb.real.altres empreses,,,31000.0,15222.51,46222.51,43981.65
2015.0.0.9330.1517.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1517,Habilitació local parc Eres per biblioteca municipal [fase I] [Diputació IFS 2015],,120000.0,120000.0,
2015.0.0.9330.1522.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1522,Adaptació escala acces pisciana descoberta [Diputació IFS 2015],,3500.0,3500.0,
2015.0.0.9330.1525.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1525,Substitució tanca protecció piscina/frontenis [Diputació IFS 2015],,8000.0,8000.0,
2015.0.0.9330.1527.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1527,Substitució tanca zona infantil CP Sant Roc [Diputació IFS 2015],,19335.79,19335.79,
2015.0.0.9330.1528.632,9330,632,Gestión del patrimonio,Edificios y otras construcciones,1528,Instal.lació barana protecció acces Piscina Coberta [Diputació IFS 2015],,9394.6,9394.6,
2015.0.0.9340.0.359,9340,359,Entitas finançeres,Otros gastos financieros,,,500.0,,500.0,125.23
2015.0.0.9420.0.466,9420,466,Transferencias a Entidades Locales territoriales,A altres Ent. agrup.munic,,,5100.0,300.0,5400.0,5341.46
2015.0.0.9430.0.463,9430,463,Transf. altres Ent. Local,A Mancomunitats,,,27000.0,,27000.0,23388.21
#,,,,,,,10948145.26,4340146.38,15288291.64,12159934.79
