#Aplicación presupuestaria,Programa,Económico,Desc. programa,Descripción,Proyecto,Desc. proyecto,Área gasto,Consig. inicial,Modificaciones,Consig. definit.,Obl. recon. (O)
2017.0.0.2316.0.16000,2316,16000,Centre de dia infància,Seguridad Social,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,10215.23,102.15,10317.38,10631.87
2017.0.0.2318.0.16000,2318,16000,Educador de Carrer,Quotes socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,32351.64,323.52,32675.16,29911.57
2017.0.0.2318.1711.16000,2318,16000,Educador de Carrer,Seguretat Social,1711,Programa Ebro Foods 2017,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,4033.75,4033.75,397.89
2017.0.0.2319.0.16000,2319,16000,Ajuda a la dependència,Quotes socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,8510.87,85.11,8595.98,7146.04
2017.0.0.2410.0.16000,2410,16000,Escoles Taller,Quotes socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,306.77,3.07,309.84,0.0
2017.0.0.2410.1619.16000,2410,16000,Escoles Taller,Seguretat Social,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,62419.49,62419.49,56271.85
2017.0.0.2410.1712.16000,2410,16000,Escoles Taller,Seguretat Social,1712,T.E. SILLA EN MARXA II - FOTAE/2017/40/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1667.53,1667.53,1667.53
2017.0.0.2410.1713.16000,2410,16000,Escoles Taller,Seguretat Social,1713,E.T. FORMEM SILLA EMPLEA FETFO/2017/14/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1066.31,1066.31,1066.31
2017.0.0.2411.1613.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1613,programa EMCORP/2016/439/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,8603.46
2017.0.0.2411.1614.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1614,ECORJV/2016/425/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,223.04,223.04,5168.84
2017.0.0.2411.1615.16000,2411,16000,Promoció de l'ocupació,Seguridad Social,1615,EMCOLD/2016/39/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,90.12,90.12,3025.27
2017.0.0.2411.1616.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1616,FME99/2016/23/46 ingles gestión comercial,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,449.49,449.49,185.6
2017.0.0.2411.1617.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1617,FME99/2016/22/46 neteja,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,2226.23,2226.23,2226.23
2017.0.0.2411.1618.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1618,EMCORD/2016/19/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,6796.64,6796.64,7054.05
2017.0.0.2411.1704.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1704,Garantía juvenil joves qualificatats-EMCUJU/2017/399/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,21192.23,21192.23,19147.28
2017.0.0.2411.1705.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1705,Garantia juvenil joves no qualificats-EMPUJU/2017/221/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,47985.59,47985.59,45590.51
2017.0.0.2411.1714.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1714,Contractació a persones desocupades EMCORP/2017/189/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,663.61,663.61,590.59
2017.0.0.2411.1715.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1715,Contractació persones desocupades llarga duració EMCORD/2017/294/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,2947.18,2947.18,2768.21
2017.0.0.2412.0.16000,2412,16000,Bossa d'ocupació,Quotes socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,54450.0,544.5,54994.5,41889.17
2017.0.0.2412.1702.16000,2412,16000,Bossa d'ocupació,Seguretat Social,1702,Plan de empleo 2016 [Subvenció Diputació],ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,7882.26,7882.26,7857.83
2017.0.0.3113.0.16000,3113,16000,Ciutats sanes,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,4787.3,47.87,4835.17,4489.8
2017.0.0.3121.0.16000,3121,16000,Servei Mèdic,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,15466.97,154.67,15621.64,11713.39
2017.0.0.3231.0.16000,3231,16000,Centres educatius,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,39414.67,394.15,39808.82,33933.83
2017.0.0.3250.0.16000,3250,16000,Monitor despertador,Seguridad Social,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1012.27,10.12,1022.39,0.0
2017.0.0.3261.0.16000,3261,16000,Centre de formació de persones adultes,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,17291.24,907.67,18198.91,17219.26
2017.0.0.3264.0.16000,3264,16000,Gabinet psicopedagògic,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,21846.3,218.46,22064.76,20728.81
2017.0.0.3300.0.16000,3300,16000,Animador Cultural,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,11767.78,318.02,12085.8,12089.97
2017.0.0.3321.0.16000,3321,16000,Biblioteques públiques,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,30078.11,300.78,30378.89,19344.81
2017.0.0.3322.0.16000,3322,16000,Arxius,Seguridad Social,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,25892.26,258.92,26151.18,14731.58
2017.0.0.3330.0.16000,3330,16000,Escola de teatre,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1837.66,238.19,2075.85,2112.79
2017.0.0.3341.0.16000,3341,16000,Casa de la Cultura,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,17008.86,170.09,17178.95,15707.33
2017.0.0.3370.0.16000,3370,16000,Ponència de Joventut,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,45149.99,4574.49,49724.48,37694.75
2017.0.0.3380.0.16000,3380,16000,Festes Populars,Seguridad Social,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,14775.73,147.76,14923.49,11905.38
2017.0.0.3420.0.16000,3420,16000,Piscina d'Estiu,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,6264.78,62.65,6327.43,7057.09
2017.0.0.3421.0.16000,3421,16000,Poliesportiu Municipal,Quotes socials,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,39702.7,397.03,40099.73,37366.77
2017.0.0.4100.0.16000,4100,16000,Consell Local Agrari,Quotes socials,,,ACTUACIONES DE CARÁCTER ECONÓMICO,41466.17,-8925.98,32540.19,32730.65
2017.0.0.4190.0.16000,4190,16000,Vedat de caça,Quotes socials,,,ACTUACIONES DE CARÁCTER ECONÓMICO,7000.84,11627.77,18628.61,10976.31
2017.0.0.4300.0.16000,4300,16000,Promoció Econòmica,Seguridad Social,,,ACTUACIONES DE CARÁCTER ECONÓMICO,37308.16,373.08,37681.24,41280.88
2017.0.0.4930.0.16000,4930,16000,O.M.I.C.,Quotes socials,,,ACTUACIONES DE CARÁCTER ECONÓMICO,8439.53,84.4,8523.93,7115.1
2017.0.0.9120.0.16000,9120,16000,Òrgans de govern,Seguretat Social,,,ACTUACIONES DE CARÁCTER GENERAL,40995.9,409.96,41405.86,40831.61
2017.0.0.9200.0.16000,9200,16000,Serveis Generals,Serveis generals. Quotes socials.,,,ACTUACIONES DE CARÁCTER GENERAL,0.0,0.0,0.0,1141.8
2017.0.0.9200.1701.16000,9200,16000,Serveis Generals,Seguretat Social,1701,"Pactiques formatives modalitat Post-Transparencia, participació i bon govern",ACTUACIONES DE CARÁCTER GENERAL,0.0,456.72,456.72,456.72
2017.0.0.9201.0.16000,9201,16000,Secretaria,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,96704.77,-31340.47,65364.3,65364.3
2017.0.0.9204.0.16000,9204,16000,Departament informàtica,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,29689.01,296.89,29985.9,26324.31
2017.0.0.9209.0.16000,9209,16000,Departament de Personal,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,42303.99,-19201.02,23102.97,23102.97
2017.0.0.9250.0.16000,9250,16000,Atenció ciutadà,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,45622.08,-12087.72,33534.36,31555.27
2017.0.0.9292.0.16000,9292,16000,Taller,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,11679.23,-1514.26,10164.97,10226.37
2017.0.0.9310.0.16000,9310,16000,Àrea Econòmica,Quotes socials,,,ACTUACIONES DE CARÁCTER GENERAL,117308.11,1173.08,118481.19,92821.93
2017.1.0.2318.1611.16000,2318,16000,Educador de Carrer,Seguretat Social,1611,Conveni Fundació Ebro Foods 2016-2017-Itinerarios inserción socio laboral,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,2644.88
2017.1.0.2411.1613.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1613,programa EMCORP/2016/439/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,3151.67
2017.1.0.2411.1614.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1614,ECORJV/2016/425/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,4380.54
2017.1.0.2411.1615.16000,2411,16000,Promoció de l'ocupació,Seguretat Social,1615,EMCOLD/2016/39/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,0.0,0.0,2807.45
2017.1.0.4190.0.16000,4190,16000,Vedat de caça,Seguretat Social,,,ACTUACIONES DE CARÁCTER ECONÓMICO,0.0,5703.17,5703.17,8469.85
2017.0.0.2210.0.16200,2210,16200,Personal actiu,Formación y perfeccionamiento del personal,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3780.0,3780.0,894.6
2017.0.0.2210.0.16205,2210,16205,Personal actiu,Despese socials [pla formació],,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,1625.0,-1381.07,243.93,158.0
2017.0.0.2211.0.16205,2211,16205,Segur. protec. i prom.soc,Despeses socials,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,5220.8,-1765.87,3454.93,3454.93
2017.0.0.2210.0.16209,2210,16209,Personal actiu,Despes. soc.-Prev riscos,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,17435.0,0.0,17435.0,17592.85
2017.0.0.1331.0.202,1331,202,Recollida de vehicles,Arrendaments d'edificis i altres construccions,,,SERVICIOS PÚBLICOS BÁSICOS,3000.0,0.0,3000.0,0.0
2017.0.0.2316.0.202,2316,202,Centre de dia infància,Arrendament edifici,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,6217.92,0.0,6217.92,6217.92
2017.0.0.3322.0.202,3322,202,Arxius,Arrendament edifici,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,12000.0,0.0,12000.0,12000.0
2017.0.0.9203.0.202,9203,202,Edificis Municipals,Arrendament edifici,,,ACTUACIONES DE CARÁCTER GENERAL,12000.0,8349.0,20349.0,20465.0
2017.0.0.9202.0.203,9202,203,Oficines Municipals,"Arrendaments de maquinaria, instalacions i utillatge",,,ACTUACIONES DE CARÁCTER GENERAL,7968.48,145.2,8113.68,6066.16
2017.0.0.1320.0.204,1320,204,Seguretat i orgre públic,Arrendament vehicles,,,SERVICIOS PÚBLICOS BÁSICOS,26055.9,15805.38,41861.28,40346.12
2017.0.0.1531.0.204,1531,204,Obres,Arrendament vehicles,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,112.32,112.32,112.32
2017.0.0.1532.0.210,1532,210,Vies públiques,Rep mnment.conser.Infrastructures i bens naturals,,,SERVICIOS PÚBLICOS BÁSICOS,10000.0,73118.92,83118.92,92157.59
2017.0.0.1710.0.210,1710,210,Parcs i Jardins,Rep mment.conser.Infrastr,,,SERVICIOS PÚBLICOS BÁSICOS,143563.73,-2401.42,141162.31,128964.32
2017.1.0.1532.0.210,1532,210,Vies públiques,Rep mnment.conser.Infrastructures i bens naturals,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,1896.87,1896.87,1889.23
2017.0.0.1640.0.212,1640,212,Cementeri Municipal,Rep.mment.i cons.edificis,,,SERVICIOS PÚBLICOS BÁSICOS,2904.0,2910.23,5814.23,5790.36
2017.0.0.3231.0.212,3231,212,Centres educatius,Rep.mment.i cons.edificis,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,17012.0,55617.57,72629.57,69551.14
2017.0.0.3379.0.212,3379,212,Centre Tercera edat,Rep mnment.conser.edificis i altres construccions,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1619.84,516.9,2136.74,1920.52
2017.0.0.3421.0.212,3421,212,Poliesportiu Municipal,Rep.mment.i cons.edificis,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,464.28,6258.63,6722.91,6985.68
2017.0.0.4312.0.212,4312,212,Mercat municipal,Rep.mment.i cons.edificis,,,ACTUACIONES DE CARÁCTER ECONÓMICO,205.36,51.34,256.7,250.39
2017.0.0.9203.0.212,9203,212,Edificis Municipals,Rep.mment.i cons.edificis,,,ACTUACIONES DE CARÁCTER GENERAL,6000.0,11359.16,17359.16,26851.76
2017.0.0.1320.0.213,1320,213,Seguretat i orgre públic,"Rep mnment.conser.maquinaria, instal.técniques i utillatge",,,SERVICIOS PÚBLICOS BÁSICOS,2000.0,1964.22,3964.22,4824.52
2017.0.0.1650.0.213,1650,213,Enllumenat Públic,Rep.mment i cons.Maquinar,,,SERVICIOS PÚBLICOS BÁSICOS,23630.0,0.0,23630.0,11227.15
2017.0.0.3420.0.213,3420,213,Piscina d'Estiu,Rep.mment i cons.Maquinar,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,19635.0,19635.0,18359.37
2017.0.0.9202.0.213,9202,213,Oficines Municipals,Rep.mment i cons.Maquinar,,,ACTUACIONES DE CARÁCTER GENERAL,23689.08,2214.42,25903.5,23552.35
2017.0.0.1320.0.214,1320,214,Seguretat i orgre públic,Rep.mment i cons. vehicle,,,SERVICIOS PÚBLICOS BÁSICOS,3492.0,2594.8,6086.8,3276.77
2017.0.0.1532.0.214,1532,214,Vies públiques,Rep mnment.conser.elements de transport,,,SERVICIOS PÚBLICOS BÁSICOS,5000.0,689.4,5689.4,2752.56
2017.0.0.4920.0.216,4920,216,Administració electrònica,Rep mnment.conser.Equips per proces informació,,,ACTUACIONES DE CARÁCTER ECONÓMICO,13468.24,448.43,13916.67,17231.35
2017.0.0.1330.0.219,1330,219,Control del trànsit,Rep mnment.conser.altre immovilitzat material,,,SERVICIOS PÚBLICOS BÁSICOS,7500.0,738.37,8238.37,8149.09
2017.0.0.3347.0.22000,3347,22000,Pomoció d'Ús Valencià,Material oficina,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,500.0,0.0,500.0,242.0
2017.0.0.9202.0.22000,9202,22000,Oficines Municipals,Material d'oficina ordinari no inventariable,,,ACTUACIONES DE CARÁCTER GENERAL,15000.0,13627.37,28627.37,28083.17
2017.0.0.4911.0.22002,4911,22002,Participació i transparència,Material informàtic no inventariable,,,ACTUACIONES DE CARÁCTER ECONÓMICO,13320.0,-2328.12,10991.88,0.0
2017.0.0.1320.0.22100,1320,22100,Seguretat i orgre públic,Subministres,,,SERVICIOS PÚBLICOS BÁSICOS,14372.28,1134.95,15507.23,12858.44
2017.0.0.1330.0.22100,1330,22100,Control del trànsit,Subministres,,,SERVICIOS PÚBLICOS BÁSICOS,2023.44,0.0,2023.44,1407.65
2017.0.0.1531.0.22100,1531,22100,Obres,Subministres,,,SERVICIOS PÚBLICOS BÁSICOS,7628.16,14157.51,21785.67,21348.75
2017.0.0.1640.0.22100,1640,22100,Cementeri Municipal,Subministres,,,SERVICIOS PÚBLICOS BÁSICOS,2174.88,8744.67,10919.55,2377.0
2017.0.0.1650.0.22100,1650,22100,Enllumenat Públic,Energia elèctrica,,,SERVICIOS PÚBLICOS BÁSICOS,170640.72,148208.25,318848.97,331204.26
2017.0.0.3110.0.22100,3110,22100,Medicaments i prod sanita,Subministres,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1000.0,-1000.0,0.0,0.0
2017.0.0.3231.0.22100,3231,22100,Centres educatius,Subministres,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,110406.0,0.0,110406.0,84029.2
2017.0.0.3379.0.22100,3379,22100,Centre Tercera edat,Subministres,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,19402.68,0.0,19402.68,15116.37
2017.0.0.3421.0.22100,3421,22100,Poliesportiu Municipal,Subministres,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,48979.2,343.39,49322.59,49029.28
2017.0.0.3422.0.22100,3422,22100,Piscina coberta,Subministres,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,0.0,26379.26,26379.26,26379.26
2017.0.0.4312.0.22100,4312,22100,Mercat municipal,Subministres,,,ACTUACIONES DE CARÁCTER ECONÓMICO,7959.12,0.0,7959.12,3969.75
2017.0.0.9202.0.22100,9202,22100,Oficines Municipals,Subministres,,,ACTUACIONES DE CARÁCTER GENERAL,57904.56,19371.9,77276.46,70512.25
2017.0.0.1320.0.22104,1320,22104,Seguretat i orgre públic,Vestuari,,,SERVICIOS PÚBLICOS BÁSICOS,5000.0,5324.0,10324.0,13898.72
2017.0.0.9202.0.22200,9202,22200,Oficines Municipals,Serveis de Telecomunicacions,,,ACTUACIONES DE CARÁCTER GENERAL,59773.68,9849.24,69622.92,72076.79
2017.0.0.2411.1716.224,2411,224,Promoció de l'ocupació,Primes de segurs,1716,Anglès. Gestió comercial FME99/2017/4/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,207.58,207.58,0.0
2017.0.0.2411.1717.224,2411,224,Promoció de l'ocupació,Primes de segurs,1717,Accions d'orientació laboral persones desocupades ILPLD/2017/46/46,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,450.0,450.0,0.0
2017.0.0.9206.0.224,9206,224,Bens Municipals,Primes de segurs,,,ACTUACIONES DE CARÁCTER GENERAL,32019.76,8902.65,40922.41,39979.91
2017.0.0.4911.0.22602,4911,22602,Participació i transparència,Publicitat i propaganda,,,ACTUACIONES DE CARÁCTER ECONÓMICO,20000.0,-1506.46,18493.54,9115.79
2017.0.0.1320.0.22699,1320,22699,Seguretat i orgre públic,Altres despeses diverses,,,SERVICIOS PÚBLICOS BÁSICOS,0.0,1000.0,1000.0,1596.17
2017.0.0.1532.0.22699,1532,22699,Vies públiques,Otros gastos diversos,,,SERVICIOS PÚBLICOS BÁSICOS,18000.0,12123.68,30123.68,23583.77
2017.0.0.1721.0.22699,1721,22699,Protecció i millora medi ambient,Despeses diverses,,,SERVICIOS PÚBLICOS BÁSICOS,2376.0,0.0,2376.0,3971.0
2017.0.0.2310.0.22699,2310,22699,Assistència Social,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,1000.0,0.0,1000.0,998.45
2017.0.0.2312.0.22699,2312,22699,Assistència domiciliaria,Otros gastos diversos,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,1000.0,-1000.0,0.0,0.0
2017.0.0.2313.0.22699,2313,22699,Prevenció Drogodependenc.,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,5000.0,1700.0,6700.0,4337.5
2017.0.0.2314.0.22699,2314,22699,Entitats no lucratives,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,1500.0,0.0,1500.0,752.32
2017.0.0.2315.0.22699,2315,22699,Departament d'igualtat,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,6500.0,4650.0,11150.0,8016.26
2017.0.0.2316.0.22699,2316,22699,Centre de dia infància,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,4000.0,300.0,4300.0,4203.44
2017.0.0.2318.0.22699,2318,22699,Educador de Carrer,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2000.0,0.0,2000.0,1693.89
2017.0.0.2318.1711.22699,2318,22699,Educador de Carrer,Altres despeses diverses,1711,Programa Ebro Foods 2017,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3099.43,3099.43,0.0
2017.0.0.2410.0.22699,2410,22699,Escoles Taller,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,15000.0,-15000.0,0.0,0.0
2017.0.0.2410.1619.22699,2410,22699,Escoles Taller,Altres despeses diverses,1619,FOTAE/2016/40/46 Taller ocupació,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,58176.0,58176.0,47808.59
2017.0.0.2411.0.22699,2411,22699,Promoció de l'ocupació,Despeses diverses,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,2613.6,1200.0,3813.6,6085.68
2017.0.0.2411.1616.22699,2411,22699,Promoció de l'ocupació,Altres despeses diverses,1616,FME99/2016/23/46 ingles gestión comercial,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,1697.62,1697.62,1697.62
2017.0.0.2411.1617.22699,2411,22699,Promoció de l'ocupació,Altres despeses diverses,1617,FME99/2016/22/46 neteja,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,0.0,3864.8,3864.8,3864.8
2017.0.0.3113.0.22699,3113,22699,Ciutats sanes,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2000.0,2650.0,4650.0,3761.05
2017.0.0.3200.0.22699,3200,22699,Ponència d'educació,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,11800.0,0.0,11800.0,11605.56
2017.0.0.3261.0.22699,3261,22699,Centre de formació de persones adultes,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2000.0,0.0,2000.0,4175.59
2017.0.0.3321.0.22699,3321,22699,Biblioteques públiques,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2500.0,206.3,2706.3,2694.71
2017.0.0.3330.0.22699,3330,22699,Escola de teatre,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,8000.0,0.0,8000.0,7497.7
2017.0.0.3331.0.22699,3331,22699,Projeccions i representacions teatrals,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,29000.0,2050.0,31050.0,27893.62
2017.0.0.3340.0.22699,3340,22699,Ponència de Cultura,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,25000.0,28428.05,53428.05,52670.37
2017.0.0.3342.0.22699,3342,22699,Setmana lletres valencian,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2500.0,0.0,2500.0,1833.28
2017.0.0.3343.0.22699,3343,22699,Campanya animació lectura,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1500.0,-1500.0,0.0,0.0
2017.0.0.3344.0.22699,3344,22699,Projectes cultur. Europeu,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,2000.0,-1437.58,562.42,562.42
2017.0.0.3346.0.22699,3346,22699,Cronista,Otros gastos diversos,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1000.0,-347.44,652.56,496.1
2017.0.0.3347.0.22699,3347,22699,Pomoció d'Ús Valencià,Altres despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,4000.0,15000.0,19000.0,15595.49
2017.0.0.3371.0.22699,3371,22699,"Ponència d'infància, adolescència i joventut",Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,26000.0,25928.0,51928.0,48734.8
2017.0.0.3379.0.22699,3379,22699,Centre Tercera edat,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,1000.0,0.0,1000.0,251.88
2017.0.0.3380.0.22699,3380,22699,Festes Populars,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,116300.0,-5305.49,110994.51,109733.9
2017.0.0.3410.0.22699,3410,22699,Ponència d'Esports,Despeses diverses,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE,5800.0,1381.0,7181.0,6789.3
2017.0.0.4100.0.22699,4100,22699,Consell Local Agrari,Despeses diverses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,5000.0,0.0,5000.0,4582.89
2017.0.0.4300.0.22699,4300,22699,Promoció Econòmica,Despeses diverses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,16000.0,0.0,16000.0,14431.71
2017.0.0.4311.0.22699,4311,22699,Fira Sant Sebastià,Despeses diverses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,70000.0,-6164.0,63836.0,63640.73
2017.0.0.4930.0.22699,4930,22699,O.M.I.C.,Despeses diverses,,,ACTUACIONES DE CARÁCTER ECONÓMICO,1500.0,0.0,1500.0,999.46
2017.0.0.9120.0.22699,9120,22699,Òrgans de govern,Despeses diverses,,,ACTUACIONES DE CARÁCTER GENERAL,9000.0,721.0,9721.0,6475.54
2017.0.0.9202.0.22699,9202,22699,Oficines Municipals,Altres despeses diverses,,,ACTUACIONES DE CARÁCTER GENERAL,0.0,0.0,0.0,3999.62
2017.0.0.9207.0.22699,9207,22699,Jutjat,Despeses diverses,,,ACTUACIONES DE CARÁCTER GENERAL,500.0,0.0,500.0,490.11
2017.0.0.9291.0.22699,9291,22699,Indemnitzacions,Otros gastos diversos,,,ACTUACIONES DE CARÁCTER GENERAL,41730.84,35278.24,77009.08,75042.85
